interval,Week,Subject,Session,column_name_1,column_name_2,column_name_3
1,week_4,s11\,run_02,,,
1,week_4,s11\,run_03,,,
1,week_4,s14\,run_01,,,
1,week_4,s14\,run_02,,,
1,week_4,s17\,run_01,,,
1,week_4,s17\,run_02,,,
1,week_4,s17\,run_03,,,
1,week_4,s17\,run_04,,,
1,week_4,s17\,run_05,,,
1,week_4,s17\,run_06,,,
1,week_4,s17\,run_07,,,
1,week_4,s18\,run_01,,,
1,week_4,s18\,run_02,,,
1,week_4,s18\,run_03,,,
1,week_4,s18\,run_04,,,
1,week_4,s18\,run_05,,,
1,week_4,s18\,run_06,,,
1,week_4,s19\,run_01,,,
1,week_4,s19\,run_02,,,
1,week_4,s19\,run_03,,,
1,week_4,s19\,run_04,,,
1,week_4,s19\,run_05,,,
1,week_4,s21\,run_01,,,
1,week_4,s21\,run_02,,,
1,week_4,s21\,run_03,,,
1,week_4,s21\,run_04,,,
1,week_4,s21\,run_05,,,
1,week_4,s21\,run_06,,,
2,week_1,s01\,run_01,,,
2,week_1,s01\,run_02,,,
2,week_1,s01\,run_03,,,
2,week_1,s01\,run_04,,,
2,week_1,s01\,run_05,,,
2,week_1,s01\,run_06,,,
2,week_1,s01\,run_07,,,
2,week_1,s02\,run_01,,,
2,week_1,s02\,run_02,,,
2,week_1,s02\,run_03,,,
2,week_1,s02\,run_04,,,
2,week_1,s02\,run_05,,,
2,week_1,s02\,run_06,,,
2,week_1,s02\,run_07,,,
2,week_1,s03\,run_01,,,
2,week_1,s03\,run_02,,,
2,week_1,s03\,run_03,,,
2,week_1,s03\,run_04,,,
2,week_1,s03\,run_05,,,
2,week_1,s03\,run_06,,,
2,week_1,s03\,run_07,,,
2,week_1,s04\,run_01,,,
2,week_1,s04\,run_02,,,
2,week_1,s04\,run_03,,,
2,week_1,s04\,run_05,,,
2,week_1,s04\,run_07,,,
2,week_1,s07\,run_01,,,
2,week_1,s07\,run_02,,,
2,week_1,s07\,run_03,,,
2,week_1,s07\,run_05,,,
2,week_1,s07\,run_06,,,
